種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
139,メダイチドリ,Charadrius mongolus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
139-1,モウコメダイチドリ（和名検討中）,Charadrius mongolus mongolus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,亜種
139-2,メダイチドリ,Charadrius mongolus stegmanni,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,亜種
140,オオチドリ,Charadrius veredus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
141,コバシチドリ,Charadrius morinellus,CHARADRIUS,チドリ属,CHARADRIIDAE,チドリ科,CHARADRIIFORMES,チドリ目,種
142,タマシギ,Rostratula benghalensis,ROSTRATULA,タマシギ属,ROSTRATULIDAE,タマシギ科,CHARADRIIFORMES,チドリ目,種
143,レンカク,Hydrophasianus chirurgus,HYDROPHASIANUS,レンカク属,JACANIDAE,レンカク科,CHARADRIIFORMES,チドリ目,種
144,ハリモモチュウシャク,Numenius tahitiensis,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
145,チュウシャクシギ,Numenius phaeopus,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
145-1,チュウシャクシギ,Numenius phaeopus variegatus,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
146,コシャクシギ,Numenius minutus,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
147,ホウロクシギ,Numenius madagascariensis,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
148,シロハラチュウシャクシギ,Numenius tenuirostris,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
149,ダイシャクシギ,Numenius arquata,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
149-1,ダイシャクシギ,Numenius arquata orientalis,NUMENIUS,ダイシャクシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
150,オオソリハシシギ,Limosa lapponica,LIMOSA,オグロシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
150-1,コシジロオオソリハシシギ,Limosa lapponica menzbieri,LIMOSA,オグロシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
150-2,オオソリハシシギ,Limosa lapponica baueri,LIMOSA,オグロシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
151,オグロシギ,Limosa limosa,LIMOSA,オグロシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
151-1,オグロシギ,Limosa limosa melanuroides,LIMOSA,オグロシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
152,アメリカオグロシギ,Limosa haemastica,LIMOSA,オグロシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
153,キョウジョシギ,Arenaria interpres,ARENARIA,キョウジョシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
153-1,キョウジョシギ,Arenaria interpres interpres,ARENARIA,キョウジョシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
154,オバシギ,Calidris tenuirostris,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
155,コオバシギ,Calidris canutus,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
155-1,コオバシギ,Calidris canutus rogersi,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
156,エリマキシギ,Calidris pugnax,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
157,キリアイ,Calidris falcinellus,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
157-1,キリアイ,Calidris falcinellus sibirica,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
158,ウズラシギ,Calidris acuminata,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
159,アシナガシギ,Calidris himantopus,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
160,サルハマシギ,Calidris ferruginea,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
161,オジロトウネン,Calidris temminckii,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
162,ヒバリシギ,Calidris subminuta,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
163,ヘラシギ,Calidris pygmaea,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
164,トウネン,Calidris ruficollis,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
165,ミユビシギ,Calidris alba,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
166,ハマシギ,Calidris alpina,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
166-1,ハマシギ,Calidris alpina sakhalina,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
166-2,キタアラスカハマシギ,Calidris alpina arcticola,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
167,チシマシギ,Calidris ptilocnemis,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
167-1,チシマシギ,Calidris ptilocnemis quarta,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
168,ヒメウズラシギ,Calidris bairdii,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
169,ヨーロッパトウネン,Calidris minuta,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
170,コシジロウズラシギ,Calidris fuscicollis,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
171,コモンシギ,Calidris subruficollis,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
172,アメリカウズラシギ,Calidris melanotos,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
173,ヒメハマシギ,Calidris mauri,CALIDRIS,オバシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
174,シベリアオオハシシギ,Limnodromus semipalmatus,LIMNODROMUS,オオハシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
175,オオハシシギ,Limnodromus scolopaceus,LIMNODROMUS,オオハシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
176,アメリカオオハシシギ,Limnodromus griseus,LIMNODROMUS,オオハシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
177,ヤマシギ,Scolopax rusticola,SCOLOPAX,ヤマシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
178,アマミヤマシギ,Scolopax mira,SCOLOPAX,ヤマシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
179,コシギ,Lymnocryptes minimus,LYMNOCRYPTES,コシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
180,アオシギ,Gallinago solitaria,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
180-1,アオシギ,Gallinago solitaria japonica,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
181,オオジシギ,Gallinago hardwickii,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
182,ハリオシギ,Gallinago stenura,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
183,チュウジシギ,Gallinago megala,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
184,タシギ,Gallinago gallinago,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
184-1,タシギ,Gallinago gallinago gallinago,GALLINAGO,タシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
185,ソリハシシギ,Xenus cinereus,XENUS,ソリハシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
186,アメリカヒレアシシギ,Steganopus tricolor,STEGANOPUS,アメリカヒレアシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
187,アカエリヒレアシシギ,Phalaropus lobatus,PHALAROPUS,ヒレアシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
188,ハイイロヒレアシシギ,Phalaropus fulicarius,PHALAROPUS,ヒレアシシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
189,イソシギ,Actitis hypoleucos,ACTITIS,イソシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
190,アメリカイソシギ,Actitis macularius,ACTITIS,イソシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
191,クサシギ,Tringa ochropus,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
192,メリケンキアシシギ,Tringa incana,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
193,キアシシギ,Tringa brevipes,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
194,コキアシシギ,Tringa flavipes,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
195,アカアシシギ,Tringa totanus,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
195-1,アカアシシギ,Tringa totanus ussuriensis,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,亜種
196,コアオアシシギ,Tringa stagnatilis,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
197,タカブシギ,Tringa glareola,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
198,ツルシギ,Tringa erythropus,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
199,アオアシシギ,Tringa nebularia,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
200,カラフトアオアシシギ,Tringa guttifer,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
201,オオキアシシギ,Tringa melanoleuca,TRINGA,クサシギ属,SCOLOPACIDAE,シギ科,CHARADRIIFORMES,チドリ目,種
202,ツバメチドリ,Glareola maldivarum,GLAREOLA,ツバメチドリ属,GLAREOLIDAE,ツバメチドリ科,CHARADRIIFORMES,チドリ目,種
203,クロアジサシ,Anous stolidus,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
203-1,クロアジサシ,Anous stolidus pileatus,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
203-2,リュウキュウクロアジサシ,Anous stolidus pullus,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
204,ヒメクロアジサシ,Anous minutus,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
204-1,ヒメクロアジサシ,Anous minutus marcusi,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
205,ハイイロアジサシ,Anous ceruleus,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
205-1,ハイイロアジサシ,Anous ceruleus saxatilis,ANOUS,クロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
206,シロアジサシ,Gygis alba,GYGIS,シロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
206-1,シロアジサシ,Gygis alba candida,GYGIS,シロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
207,ミツユビカモメ,Rissa tridactyla,RISSA,ミツユビカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
207-1,ミツユビカモメ,Rissa tridactyla pollicaris,RISSA,ミツユビカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
208,アカアシミツユビカモメ,Rissa brevirostris,RISSA,ミツユビカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
209,ゾウゲカモメ,Pagophila eburnea,PAGOPHILA,ゾウゲカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
210,クビワカモメ,Xema sabini,XEMA,クビワカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
211,ハシボソカモメ,Chroicocephalus genei,CHROICOCEPHALUS,ユリカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
212,ボナパルトカモメ,Chroicocephalus philadelphia,CHROICOCEPHALUS,ユリカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
213,チャガシラカモメ,Chroicocephalus brunnicephalus,CHROICOCEPHALUS,ユリカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
214,ユリカモメ,Chroicocephalus ridibundus,CHROICOCEPHALUS,ユリカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
215,ズグロカモメ,Saundersilarus saundersi,SAUNDERSILARUS,ズグロカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
216,ヒメカモメ,Hydrocoloeus minutus,HYDROCOLOEUS,ヒメカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
217,ヒメクビワカモメ,Rhodostethia rosea,RHODOSTETHIA,ヒメクビワカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
218,ワライカモメ,Leucophaeus atricilla,LEUCOPHAEUS,ワライカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
219,アメリカズグロカモメ,Leucophaeus pipixcan,LEUCOPHAEUS,ワライカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
220,ゴビズキンカモメ,Ichthyaetus relictus,ICHTHYAETUS,オオズグロカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
221,オオズグロカモメ,Ichthyaetus ichthyaetus,ICHTHYAETUS,オオズグロカモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
222,ウミネコ,Larus crassirostris,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
223,カモメ,Larus canus,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
223-1,カモメ,Larus canus kamtschatschensis,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
224,ワシカモメ,Larus glaucescens,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
225,シロカモメ,Larus hyperboreus,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
225-1,シロカモメ,Larus hyperboreus pallidissimus,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
226,アイスランドカモメ,Larus glaucoides,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
226-1,アイスランドカモメ,Larus glaucoides glaucoides,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
226-2,カナダカモメ,Larus glaucoides thayeri,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
227,セグロカモメ,Larus vegae,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
227-1,セグロカモメ,Larus vegae vegae,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
227-2,モンゴルセグロカモメ,Larus vegae mongolicus,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
228,オオセグロカモメ,Larus schistisagus,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
229,ニシセグロカモメ,Larus fuscus,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
229-1,ホイグリンカモメ,Larus fuscus heuglini,LARUS,カモメ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
230,ハシブトアジサシ,Gelochelidon nilotica,GELOCHELIDON,ハシブトアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
230-1,ハシブトアジサシ,Gelochelidon nilotica affinis,GELOCHELIDON,ハシブトアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
231,オニアジサシ,Hydroprogne caspia,HYDROPROGNE,オニアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
232,オオアジサシ,Thalasseus bergii,THALASSEUS,オオアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
232-1,オオアジサシ,Thalasseus bergii cristatus,THALASSEUS,オオアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
233,ベンガルアジサシ,Thalasseus bengalensis,THALASSEUS,オオアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
234,コアジサシ,Sternula albifrons,STERNULA,コアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
234-1,コアジサシ,Sternula albifrons sinensis,STERNULA,コアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
235,アメリカコアジサシ,Sternula antillarum,STERNULA,コアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
235-1,アメリカコアジサシ,Sternula antillarum athalassos,STERNULA,コアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
236,コシジロアジサシ,Onychoprion aleuticus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
237,ナンヨウマミジロアジサシ,Onychoprion lunatus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
238,マミジロアジサシ,Onychoprion anaethetus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
238-1,マミジロアジサシ,Onychoprion anaethetus anaethetus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
238-2,インドヨウマミジロアジサシ,Onychoprion anaethetus antarcticus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
239,セグロアジサシ,Onychoprion fuscatus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
239-1,ハワイセグロアジサシ,Onychoprion fuscatus oahuensis,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
239-2,セグロアジサシ,Onychoprion fuscatus nubilosus,ONYCHOPRION,セグロアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
240,ベニアジサシ,Sterna dougallii,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
240-1,ベニアジサシ,Sterna dougallii bangsi,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
241,エリグロアジサシ,Sterna sumatrana,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
242,アジサシ,Sterna hirundo,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
242-1,アカアシアジサシ,Sterna hirundo minussensis,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
242-2,アジサシ,Sterna hirundo longipennis,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
243,キョクアジサシ,Sterna paradisaea,STERNA,アジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
244,クロハラアジサシ,Chlidonias hybrida,CHLIDONIAS,クロハラアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
244-1,クロハラアジサシ,Chlidonias hybrida hybrida,CHLIDONIAS,クロハラアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
245,ハジロクロハラアジサシ,Chlidonias leucopterus,CHLIDONIAS,クロハラアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
246,ハシグロクロハラアジサシ,Chlidonias niger,CHLIDONIAS,クロハラアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,種
246-1,ハシグロクロハラアジサシ,Chlidonias niger niger,CHLIDONIAS,クロハラアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
246-2,アメリカハシグロクロハラアジサシ,Chlidonias niger surinamensis,CHLIDONIAS,クロハラアジサシ属,LARIDAE,カモメ科,CHARADRIIFORMES,チドリ目,亜種
247,オオトウゾクカモメ,Stercorarius maccormicki,STERCORARIUS,トウゾクカモメ属,STERCORARIIDAE,トウゾクカモメ科,CHARADRIIFORMES,チドリ目,種
248,トウゾクカモメ,Stercorarius pomarinus,STERCORARIUS,トウゾクカモメ属,STERCORARIIDAE,トウゾクカモメ科,CHARADRIIFORMES,チドリ目,種
249,クロトウゾクカモメ,Stercorarius parasiticus,STERCORARIUS,トウゾクカモメ属,STERCORARIIDAE,トウゾクカモメ科,CHARADRIIFORMES,チドリ目,種
250,シロハラトウゾクカモメ,Stercorarius longicaudus,STERCORARIUS,トウゾクカモメ属,STERCORARIIDAE,トウゾクカモメ科,CHARADRIIFORMES,チドリ目,種
250-1,シロハラトウゾクカモメ,Stercorarius longicaudus pallescens,STERCORARIUS,トウゾクカモメ属,STERCORARIIDAE,トウゾクカモメ科,CHARADRIIFORMES,チドリ目,亜種
251,ヒメウミスズメ,Alle alle,ALLE,ヒメウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
252,ハシブトウミガラス,Uria lomvia,URIA,ウミガラス属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
252-1,ハシブトウミガラス,Uria lomvia arra,URIA,ウミガラス属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,亜種
253,ウミガラス,Uria aalge,URIA,ウミガラス属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
253-1,ウミガラス,Uria aalge inornata,URIA,ウミガラス属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,亜種
254,ウミバト,Cepphus columba,CEPPHUS,ウミバト属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
254-1,ウミバト,Cepphus columba snowi,CEPPHUS,ウミバト属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,亜種
254-2,アリューシャンウミバト,Cepphus columba kaiurka,CEPPHUS,ウミバト属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,亜種
255,ケイマフリ,Cepphus carbo,CEPPHUS,ウミバト属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
256,マダラウミスズメ,Brachyramphus perdix,BRACHYRAMPHUS,マダラウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
257,ウミスズメ,Synthliboramphus antiquus,SYNTHLIBORAMPHUS,ウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
257-1,ウミスズメ,Synthliboramphus antiquus antiquus,SYNTHLIBORAMPHUS,ウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,亜種
258,カンムリウミスズメ,Synthliboramphus wumizusume,SYNTHLIBORAMPHUS,ウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
259,アメリカウミスズメ,Ptychoramphus aleuticus,PTYCHORAMPHUS,アメリカウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
260,ウミオウム,Aethia psittacula,AETHIA,エトロフウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
261,コウミスズメ,Aethia pusilla,AETHIA,エトロフウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
262,シラヒゲウミスズメ,Aethia pygmaea,AETHIA,エトロフウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
263,エトロフウミスズメ,Aethia cristatella,AETHIA,エトロフウミスズメ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
264,ウトウ,Cerorhinca monocerata,CERORHINCA,ウトウ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
265,ツノメドリ,Fratercula corniculata,FRATERCULA,ツノメドリ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
266,エトピリカ,Fratercula cirrhata,FRATERCULA,ツノメドリ属,ALCIDAE,ウミスズメ科,CHARADRIIFORMES,チドリ目,種
267,アカオネッタイチョウ,Phaethon rubricauda,PHAETHON,ネッタイチョウ属,PHAETHONTIDAE,ネッタイチョウ科,PHAETHONTIFORMES,ネッタイチョウ目,種
267-1,アカオネッタイチョウ,Phaethon rubricauda melanorhynchos,PHAETHON,ネッタイチョウ属,PHAETHONTIDAE,ネッタイチョウ科,PHAETHONTIFORMES,ネッタイチョウ目,亜種
268,シラオネッタイチョウ,Phaethon lepturus,PHAETHON,ネッタイチョウ属,PHAETHONTIDAE,ネッタイチョウ科,PHAETHONTIFORMES,ネッタイチョウ目,種
268-1,シラオネッタイチョウ,Phaethon lepturus dorotheae,PHAETHON,ネッタイチョウ属,PHAETHONTIDAE,ネッタイチョウ科,PHAETHONTIFORMES,ネッタイチョウ目,亜種
269,アビ,Gavia stellata,GAVIA,アビ属,GAVIIDAE,アビ科,GAVIIFORMES,アビ目,種
270,オオハム,Gavia arctica,GAVIA,アビ属,GAVIIDAE,アビ科,GAVIIFORMES,アビ目,種
270-1,オオハム,Gavia arctica viridigularis,GAVIA,アビ属,GAVIIDAE,アビ科,GAVIIFORMES,アビ目,亜種
271,シロエリオオハム,Gavia pacifica,GAVIA,アビ属,GAVIIDAE,アビ科,GAVIIFORMES,アビ目,種
