種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
515,トラツグミ,Zoothera aurea,ZOOTHERA,トラツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
516,ミナミトラツグミ（和名新称）,Zoothera dauma,ZOOTHERA,トラツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
516-1,オオトラツグミ,Zoothera dauma major,ZOOTHERA,トラツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
516-2,コトラツグミ,Zoothera dauma iriomotensis,ZOOTHERA,トラツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
517,オガサワラガビチョウ,Cichlopasser terrestris,CICHLOPASSER,オガサワラガビチョウ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
518,マミジロ,Geokichla sibirica,GEOKICHLA,マミジロ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
518-1,マミジロ,Geokichla sibirica davisoni,GEOKICHLA,マミジロ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
519,オレンジジツグミ,Geokichla citrina,GEOKICHLA,マミジロ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
520,ウタツグミ,Turdus philomelos,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
521,ヤドリギツグミ,Turdus viscivorus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
522,クロウタドリ（和名検討中）,Turdus mandarinus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
522-1,クロウタドリ（和名検討中）,Turdus mandarinus mandarinus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
523,ワキアカツグミ,Turdus iliacus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
523-1,ワキアカツグミ,Turdus iliacus iliacus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
524,クロツグミ,Turdus cardis,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
525,カラアカハラ,Turdus hortulorum,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
526,マミチャジナイ,Turdus obscurus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
527,シロハラ,Turdus pallidus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
528,アカハラ,Turdus chrysolaus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
528-1,オオアカハラ,Turdus chrysolaus orii,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
528-2,アカハラ,Turdus chrysolaus chrysolaus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,亜種
529,アカコッコ,Turdus celaenops,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
530,ノハラツグミ,Turdus pilaris,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
531,ノドグロツグミ,Turdus atrogularis,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
532,ツグミ,Turdus eunomus,TURDUS,ツグミ属,TURDIDAE,ツグミ科,PASSERIFORMES,スズメ目,種
