和名・学名リスト
78. Surniculus lugubris オウチュウカッコウ
78-U. Surniculus lugubris ssp. 亜種不明
HIEROCOCCYX ジュウイチ属
79. Hierococcyx sparverioides オオジュウイチ
80. Hierococcyx hyperythrus ジュウイチ
CUCULUS カッコウ属
81. Cuculus poliocephalus ホトトギス
82. Cuculus micropterus セグロカッコウ
82-1. Cuculus micropterus micropterus セグロカッコウ
83. Cuculus optatus ツツドリ
84. Cuculus canorus カッコウ
84-1. Cuculus canorus telephonus カッコウ
Order PTEROCLIFORMES サケイ目
Family PTEROCLIDAE サケイ科
SYRRHAPTES サケイ属
85. Syrrhaptes paradoxus サケイ
Order COLUMBIFORMES ハト目
Family COLUMBIDAE ハト科
COLUMBA カワラバト属
86. Columba oenas ヒメモリバト
86-U. Columba oenas ssp. 亜種不明
87. Columba janthina カラスバト
87-1. Columba janthina janthina カラスバト
87-2. Columba janthina nitens アカガシラカラスバト
87-3. Columba janthina stejnegeri ヨナグニカラスバト
88. Columba versicolor オガサワラカラスバト
89. Columba jouyi リュウキュウカラスバト
STREPTOPELIA キジバト属
90. Streptopelia orientalis キジバト
90-1. Streptopelia orientalis orientalis キジバト
90-2. Streptopelia orientalis stimpsoni リュウキュウキジバト
91. Streptopelia decaocto シラコバト
92. Streptopelia tranquebarica ベニバト
92-1. Streptopelia tranquebarica humilis ベニバト
CHALCOPHAPS キンバト属
93. Chalcophaps indica キンバト
93-1. Chalcophaps indica yamashinai キンバト
TRERON アオバト属
94. Treron sieboldii アオバト
94-1. Treron sieboldii sieboldii アオバト
95. Treron formosae ズアカアオバト
95-1. Treron formosae permagnus ズアカアオバト
95-2. Treron formosae medioximus チュウダイズアカアオバト
PTILINOPUS ヒメアオバト属
96. Ptilinopus leclancheri クロアゴヒメアオバト
96-1. Ptilinopus leclancheri taiwanus クロアゴヒメアオバト
Order GRUIFORMES ツル目
Family RALLIDAE クイナ科
RALLUS クイナ属
97. Rallus indicus クイナ
CREX ウズラクイナ属
98. Crex crex ウズラクイナ
LEWINIA ミナミクイナ属
99. Lewinia striata ミナミクイナ
99-U. Lewinia striata ssp. 亜種不明
HYPOTAENIDIA ヤンバルクイナ属
100. Hypotaenidia okinawae ヤンバルクイナ
GALLINULA バン属
101. Gallinula chloropus バン
101-1. Gallinula chloropus chloropus バン
FULICA オオバン属
102. Fulica atra オオバン
102-1. Fulica atra atra オオバン
COTURNICOPS シマクイナ属
103. Coturnicops exquisitus シマクイナ
ZAPORNIA ヒメクイナ属
104. Zapornia fusca ヒクイナ
104-1. Zapornia fusca erythrothorax ヒクイナ
104-2. Zapornia fusca phaeopyga リュウキュウヒクイナ
105. Zapornia paykullii コウライクイナ
106. Zapornia pusilla ヒメクイナ
106-1. Zapornia pusilla pusilla ヒメクイナ
RALLINA オオクイナ属
107. Rallina eurizonoides オオクイナ
107-1. Rallina eurizonoides sepiaria オオクイナ
POLIOLIMNAS マミジロクイナ属
108. Poliolimnas cinereus マミジロクイナ
108-1. Poliolimnas cinereus brevipes マミジロクイナ
GALLICREX ツルクイナ属
109. Gallicrex cinerea ツルクイナ
AMAURORNIS シロハラクイナ属
110. Amaurornis phoenicurus シロハラクイナ
110-1. Amaurornis phoenicurus phoenicurus シロハラクイナ
Family GRUIDAE ツル科
LEUCOGERANUS ソデグロヅル属
111. Leucogeranus leucogeranus ソデグロヅル
ANTIGONE マナヅル属
112. Antigone canadensis カナダヅル
112-1. Antigone canadensis canadensis カナダヅル
113. Antigone vipio マナヅル
ANTHROPOIDES アネハヅル属
114. Anthropoides virgo アネハヅル
GRUS ツル属（和名検討中）
115. Grus japonensis タンチョウ
116. Grus grus クロヅル
116-1. Grus grus lilfordi クロヅル
117. Grus monacha ナベヅル
Order PODICIPEDIFORMES カイツブリ目
Family PODICIPEDIDAE カイツブリ科
TACHYBAPTUS カイツブリ属
118. Tachybaptus ruficollis カイツブリ
118-1. Tachybaptus ruficollis poggei カイツブリ
118-2. Tachybaptus ruficollis kunikyonis ダイトウカイツブリ
PODICEPS カンムリカイツブリ属
119. Podiceps grisegena アカエリカイツブリ
119-1. Podiceps grisegena holbollii アカエリカイツブリ
120. Podiceps cristatus カンムリカイツブリ
120-1. Podiceps cristatus cristatus カンムリカイツブリ
121. Podiceps auritus ミミカイツブリ
121-1. Podiceps auritus auritus ミミカイツブリ
122. Podiceps nigricollis ハジロカイツブリ
122-1. Podiceps nigricollis nigricollis ハジロカイツブリ
Order CHARADRIIFORMES チドリ目
Family TURNICIDAE ミフウズラ科
TURNIX ミフウズラ属
123. Turnix suscitator ミフウズラ
123-1. Turnix suscitator okinavensis ミフウズラ
Family HAEMATOPODIDAE ミヤコドリ科
HAEMATOPUS ミヤコドリ属
124. Haematopus ostralegus ミヤコドリ
124-1. Haematopus ostralegus osculans ミヤコドリ
Family RECURVIROSTRIDAE セイタカシギ科
HIMANTOPUS セイタカシギ属
125. Himantopus himantopus セイタカシギ
126. Himantopus leucocephalus オーストラリアセイタカシギ
RECURVIROSTRA ソリハシセイタカシギ属
127. Recurvirostra avosetta ソリハシセイタカシギ
Family CHARADRIIDAE チドリ科
VANELLUS タゲリ属
128. Vanellus vanellus タゲリ
129. Vanellus cinereus ケリ
PLUVIALIS ムナグロ属
130. Pluvialis apricaria ヨーロッパムナグロ
130-U. Pluvialis apricaria ssp. 亜種不明
131. Pluvialis fulva ムナグロ
132. Pluvialis squatarola ダイゼン
CHARADRIUS チドリ属
133. Charadrius hiaticula ハジロコチドリ
133-1. Charadrius hiaticula tundrae ハジロコチドリ
134. Charadrius semipalmatus ミズカキチドリ
135. Charadrius placidus イカルチドリ
136. Charadrius dubius コチドリ
136-1. Charadrius dubius curonicus コチドリ
137. Charadrius alexandrinus シロチドリ
137-1. Charadrius alexandrinus alexandrinus ハシボソシロチドリ
137-2. Charadrius alexandrinus nihonensis シロチドリ
138. Charadrius leschenaultii オオメダイチドリ
138-U. Charadrius leschenaultii ssp. 亜種不明
139. Charadrius mongolus メダイチドリ
139-1. Charadrius mongolus mongolus モウコメダイチドリ（和名検討中）
139-2. Charadrius mongolus stegmanni メダイチドリ
140. Charadrius veredus オオチドリ
141. Charadrius morinellus コバシチドリ
Family ROSTRATULIDAE タマシギ科
ROSTRATULA タマシギ属
142. Rostratula benghalensis タマシギ
Family JACANIDAE レンカク科
HYDROPHASIANUS レンカク属
143. Hydrophasianus chirurgus レンカク
Family SCOLOPACIDAE シギ科
NUMENIUS ダイシャクシギ属
144. Numenius tahitiensis ハリモモチュウシャク
145. Numenius phaeopus チュウシャクシギ
145-1. Numenius phaeopus variegatus チュウシャクシギ
146. Numenius minutus コシャクシギ
147. Numenius madagascariensis ホウロクシギ
148. Numenius tenuirostris シロハラチュウシャクシギ
149. Numenius arquata ダイシャクシギ
149-1. Numenius arquata orientalis ダイシャクシギ
LIMOSA オグロシギ属
150. Limosa lapponica オオソリハシシギ
150-1. Limosa lapponica menzbieri コシジロオオソリハシシギ
150-2. Limosa lapponica baueri オオソリハシシギ
151. Limosa limosa オグロシギ
151-1. Limosa limosa melanuroides オグロシギ
152. Limosa haemastica アメリカオグロシギ
ARENARIA キョウジョシギ属
153. Arenaria interpres キョウジョシギ
153-1. Arenaria interpres interpres キョウジョシギ
CALIDRIS オバシギ属
154. Calidris tenuirostris オバシギ
155. Calidris canutus コオバシギ
155-1. Calidris canutus rogersi コオバシギ
155-U. Calidris canutus ssp. 亜種不明
156. Calidris pugnax エリマキシギ
157. Calidris falcinellus キリアイ
157-1. Calidris falcinellus sibirica キリアイ
158. Calidris acuminata ウズラシギ
159. Calidris himantopus アシナガシギ
160. Calidris ferruginea サルハマシギ
161. Calidris temminckii オジロトウネン
162. Calidris subminuta ヒバリシギ
163. Calidris pygmaea ヘラシギ
164. Calidris ruficollis トウネン
165. Calidris alba ミユビシギ
166. Calidris alpina ハマシギ
166-1. Calidris alpina sakhalina ハマシギ
166-2. Calidris alpina arcticola キタアラスカハマシギ
166-U. Calidris alpina ssp. 亜種不明
167. Calidris ptilocnemis チシマシギ
167-1. Calidris ptilocnemis quarta チシマシギ
168. Calidris bairdii ヒメウズラシギ
169. Calidris minuta ヨーロッパトウネン
170. Calidris fuscicollis コシジロウズラシギ
171. Calidris subruficollis コモンシギ
172. Calidris melanotos アメリカウズラシギ
173. Calidris mauri ヒメハマシギ
LIMNODROMUS オオハシシギ属
174. Limnodromus semipalmatus シベリアオオハシシギ
175. Limnodromus scolopaceus オオハシシギ
176. Limnodromus griseus アメリカオオハシシギ
176-U. Limnodromus griseus ssp. 亜種不明
SCOLOPAX ヤマシギ属
177. Scolopax rusticola ヤマシギ
178. Scolopax mira アマミヤマシギ
LYMNOCRYPTES コシギ属
179. Lymnocryptes minimus コシギ
GALLINAGO タシギ属
180. Gallinago solitaria アオシギ
180-1. Gallinago solitaria japonica アオシギ
181. Gallinago hardwickii オオジシギ
182. Gallinago stenura ハリオシギ
183. Gallinago megala チュウジシギ
184. Gallinago gallinago タシギ
184-1. Gallinago gallinago gallinago タシギ
XENUS ソリハシシギ属
185. Xenus cinereus ソリハシシギ
STEGANOPUS アメリカヒレアシシギ属
186. Steganopus tricolor アメリカヒレアシシギ
PHALAROPUS ヒレアシシギ属
187. Phalaropus lobatus アカエリヒレアシシギ
188. Phalaropus fulicarius ハイイロヒレアシシギ
ACTITIS イソシギ属
189. Actitis hypoleucos イソシギ
190. Actitis macularius アメリカイソシギ
TRINGA クサシギ属
191. Tringa ochropus クサシギ
192. Tringa incana メリケンキアシシギ
193. Tringa brevipes キアシシギ
194. Tringa flavipes コキアシシギ
195. Tringa totanus アカアシシギ
195-1. Tringa totanus ussuriensis アカアシシギ
196. Tringa stagnatilis コアオアシシギ
197. Tringa glareola タカブシギ
198. Tringa erythropus ツルシギ
199. Tringa nebularia アオアシシギ
200. Tringa guttifer カラフトアオアシシギ
201. Tringa melanoleuca オオキアシシギ
Family GLAREOLIDAE ツバメチドリ科
GLAREOLA ツバメチドリ属
202. Glareola maldivarum ツバメチドリ
Family LARIDAE カモメ科
ANOUS クロアジサシ属
203. Anous stolidus クロアジサシ
203-1. Anous stolidus pileatus クロアジサシ
203-2. Anous stolidus pullus リュウキュウクロアジサシ
203-U. Anous stolidus ssp. 亜種不明
204. Anous minutus ヒメクロアジサシ
204-1. Anous minutus marcusi ヒメクロアジサシ
205. Anous ceruleus ハイイロアジサシ
205-1. Anous ceruleus saxatilis ハイイロアジサシ
GYGIS シロアジサシ属
206. Gygis alba シロアジサシ
206-1. Gygis alba candida シロアジサシ
RISSA ミツユビカモメ属
207. Rissa tridactyla ミツユビカモメ
207-1. Rissa tridactyla pollicaris ミツユビカモメ
208. Rissa brevirostris アカアシミツユビカモメ
PAGOPHILA ゾウゲカモメ属
209. Pagophila eburnea ゾウゲカモメ
XEMA クビワカモメ属
210. Xema sabini クビワカモメ
CHROICOCEPHALUS ユリカモメ属
211. Chroicocephalus genei ハシボソカモメ
212. Chroicocephalus philadelphia ボナパルトカモメ
213. Chroicocephalus brunnicephalus チャガシラカモメ
214. Chroicocephalus ridibundus ユリカモメ
SAUNDERSILARUS ズグロカモメ属
215. Saundersilarus saundersi ズグロカモメ
HYDROCOLOEUS ヒメカモメ属
216. Hydrocoloeus minutus ヒメカモメ
RHODOSTETHIA ヒメクビワカモメ属
217. Rhodostethia rosea ヒメクビワカモメ
LEUCOPHAEUS ワライカモメ属
218. Leucophaeus atricilla ワライカモメ
218-U. Leucophaeus atricilla ssp. 亜種不明
219. Leucophaeus pipixcan アメリカズグロカモメ
ICHTHYAETUS オオズグロカモメ属
220. Ichthyaetus relictus ゴビズキンカモメ
221. Ichthyaetus ichthyaetus オオズグロカモメ
LARUS カモメ属
222. Larus crassirostris ウミネコ
223. Larus canus カモメ
223-1. Larus canus kamtschatschensis カモメ
224. Larus glaucescens ワシカモメ
225. Larus hyperboreus シロカモメ
225-1. Larus hyperboreus pallidissimus シロカモメ
225-U. Larus hyperboreus ssp. 亜種不明
226. Larus glaucoides アイスランドカモメ
226-1. Larus glaucoides glaucoides アイスランドカモメ
226-2. Larus glaucoides thayeri カナダカモメ
226-U. Larus glaucoides ssp. 亜種不明
227. Larus vegae セグロカモメ
227-1. Larus vegae vegae セグロカモメ
227-2. Larus vegae mongolicus モンゴルセグロカモメ
227-U. Larus vegae ssp. 亜種不明
228. Larus schistisagus オオセグロカモメ
229. Larus fuscus ニシセグロカモメ
229-1. Larus fuscus heuglini ホイグリンカモメ
GELOCHELIDON ハシブトアジサシ属
230. Gelochelidon nilotica ハシブトアジサシ
230-1. Gelochelidon nilotica affinis ハシブトアジサシ
HYDROPROGNE オニアジサシ属
231. Hydroprogne caspia オニアジサシ
THALASSEUS オオアジサシ属
232. Thalasseus bergii オオアジサシ
232-1. Thalasseus bergii cristatus オオアジサシ
233. Thalasseus bengalensis ベンガルアジサシ
233-U. Thalasseus bengalensis ssp. 亜種不明
STERNULA コアジサシ属
234. Sternula albifrons コアジサシ
234-1. Sternula albifrons sinensis コアジサシ
235. Sternula antillarum アメリカコアジサシ
235-1. Sternula antillarum athalassos アメリカコアジサシ
ONYCHOPRION セグロアジサシ属
236. Onychoprion aleuticus コシジロアジサシ
237. Onychoprion lunatus ナンヨウマミジロアジサシ
238. Onychoprion anaethetus マミジロアジサシ
238-1. Onychoprion anaethetus anaethetus マミジロアジサシ
238-2. Onychoprion anaethetus antarcticus インドヨウマミジロアジサシ
239. Onychoprion fuscatus セグロアジサシ
239-1. Onychoprion fuscatus oahuensis ハワイセグロアジサシ
239-2. Onychoprion fuscatus nubilosus セグロアジサシ
STERNA アジサシ属
240. Sterna dougallii ベニアジサシ
240-1. Sterna dougallii bangsi ベニアジサシ
241. Sterna sumatrana エリグロアジサシ
242. Sterna hirundo アジサシ
242-1. Sterna hirundo minussensis アカアシアジサシ
242-2. Sterna hirundo longipennis アジサシ
243. Sterna paradisaea キョクアジサシ
CHLIDONIAS クロハラアジサシ属
244. Chlidonias hybrida クロハラアジサシ
244-1. Chlidonias hybrida hybrida クロハラアジサシ
245. Chlidonias leucopterus ハジロクロハラアジサシ
246. Chlidonias niger ハシグロクロハラアジサシ
246-1. Chlidonias niger niger ハシグロクロハラアジサシ
246-2. Chlidonias niger surinamensis アメリカハシグロクロハラアジサシ
Family STERCORARIIDAE トウゾクカモメ科
STERCORARIUS トウゾクカモメ属
247. Stercorarius maccormicki オオトウゾクカモメ
248. Stercorarius pomarinus トウゾクカモメ
249. Stercorarius parasiticus クロトウゾクカモメ
250. Stercorarius longicaudus シロハラトウゾクカモメ
250-1. Stercorarius longicaudus pallescens シロハラトウゾクカモメ
Family ALCIDAE ウミスズメ科
ALLE ヒメウミスズメ属
251. Alle alle ヒメウミスズメ
251-U. Alle alle ssp. 亜種不明
URIA ウミガラス属
252. Uria lomvia ハシブトウミガラス
252-1. Uria lomvia arra ハシブトウミガラス
253. Uria aalge ウミガラス
253-1. Uria aalge inornata ウミガラス
CEPPHUS ウミバト属
254. Cepphus columba ウミバト
254-1. Cepphus columba snowi ウミバト
254-2. Cepphus columba kaiurka アリューシャンウミバト
255. Cepphus carbo ケイマフリ
BRACHYRAMPHUS マダラウミスズメ属
256. Brachyramphus perdix マダラウミスズメ
SYNTHLIBORAMPHUS ウミスズメ属
257. Synthliboramphus antiquus ウミスズメ
257-1. Synthliboramphus antiquus antiquus ウミスズメ
258. Synthliboramphus wumizusume カンムリウミスズメ
PTYCHORAMPHUS アメリカウミスズメ属
259. Ptychoramphus aleuticus アメリカウミスズメ
259-U. Ptychoramphus aleuticus ssp. 亜種不明
AETHIA エトロフウミスズメ属
260. Aethia psittacula ウミオウム
261. Aethia pusilla コウミスズメ
262. Aethia pygmaea シラヒゲウミスズメ
263. Aethia cristatella エトロフウミスズメ
CERORHINCA ウトウ属
264. Cerorhinca monocerata ウトウ
FRATERCULA ツノメドリ属
265. Fratercula corniculata ツノメドリ
266. Fratercula cirrhata エトピリカ
Order PHAETHONTIFORMES ネッタイチョウ目
Family PHAETHONTIDAE ネッタイチョウ科
PHAETHON ネッタイチョウ属
267. Phaethon rubricauda アカオネッタイチョウ
267-1. Phaethon rubricauda melanorhynchos アカオネッタイチョウ
268. Phaethon lepturus シラオネッタイチョウ
268-1. Phaethon lepturus dorotheae シラオネッタイチョウ
Order GAVIIFORMES アビ目
Family GAVIIDAE アビ科
GAVIA アビ属
269. Gavia stellata アビ
270. Gavia arctica オオハム
270-1. Gavia arctica viridigularis オオハム
271. Gavia pacifica シロエリオオハム
272. Gavia immer ハシグロアビ
273. Gavia adamsii ハシジロアビ
Order PROCELLARIIFORMES ミズナギドリ目
Family OCEANITIDAE アシナガウミツバメ科
OCEANITES アシナガウミツバメ属
274. Oceanites oceanicus アシナガウミツバメ
274-1. Oceanites oceanicus exasperatus アシナガウミツバメ
Family DIOMEDEIDAE アホウドリ科
PHOEBASTRIA アホウドリ属
275. Phoebastria immutabilis コアホウドリ
276. Phoebastria nigripes クロアシアホウドリ
277. Phoebastria albatrus アホウドリ
Family HYDROBATIDAE ウミツバメ科
HYDROBATES オーストンウミツバメ属
278. Hydrobates furcatus ハイイロウミツバメ
278-1. Hydrobates furcatus furcatus ハイイロウミツバメ
279. Hydrobates monorhis ヒメクロウミツバメ
280. Hydrobates matsudairae クロウミツバメ
281. Hydrobates leucorhous コシジロウミツバメ
281-1. Hydrobates leucorhous leucorhous コシジロウミツバメ
282. Hydrobates castro クロコシジロウミツバメ
283. Hydrobates tristrami オーストンウミツバメ
Family PROCELLARIIDAE ミズナギドリ科
FULMARUS フルマカモメ属
284. Fulmarus glacialis フルマカモメ
284-1. Fulmarus glacialis rodgersii フルマカモメ
PTERODROMA シロハラミズナギドリ属
285. Pterodroma solandri ハジロミズナギドリ
286. Pterodroma externa オオシロハラミズナギドリ
287. Pterodroma neglecta カワリシロハラミズナギドリ
287-U. Pterodroma neglecta ssp. 亜種不明
288. Pterodroma sandwichensis ハワイシロハラミズナギドリ
289. Pterodroma inexpectata マダラシロハラミズナギドリ
290. Pterodroma cervicalis クビワオオシロハラミズナギドリ
290-1. Pterodroma cervicalis cervicalis クビワオオシロハラミズナギドリ
290-U. Pterodroma cervicalis ssp. 亜種不明
291. Pterodroma nigripennis ハグロシロハラミズナギドリ
292. Pterodroma hypoleuca シロハラミズナギドリ
293. Pterodroma longirostris ヒメシロハラミズナギドリ
CALONECTRIS オオミズナギドリ属
294. Calonectris leucomelas オオミズナギドリ
ARDENNA ハシボソミズナギドリ属
295. Ardenna pacifica オナガミズナギドリ
295-1. Ardenna pacifica cuneata オナガミズナギドリ
296. Ardenna bulleri ミナミオナガミズナギドリ
297. Ardenna grisea ハイイロミズナギドリ
298. Ardenna tenuirostris ハシボソミズナギドリ
299. Ardenna creatopus シロハラアカアシミズナギドリ
300. Ardenna carneipes アカアシミズナギドリ
PUFFINUS セグロミズナギドリ属（和名検討中）
301. Puffinus nativitatis コミズナギドリ
302. Puffinus bryani オガサワラヒメミズナギドリ
303. Puffinus newelli ハワイセグロミズナギドリ
304. Puffinus bannermani オガサワラミズナギドリ
BULWERIA アナドリ属
305. Bulweria bulwerii アナドリ
Order CICONIIFORMES コウノトリ目
Family CICONIIDAE コウノトリ科
CICONIA コウノトリ属
306. Ciconia nigra ナベコウ
307. Ciconia boyciana コウノトリ
Order SULIFORMES カツオドリ目
Family FREGATIDAE グンカンドリ科
FREGATA グンカンドリ属
308. Fregata minor オオグンカンドリ
308-1. Fregata minor minor オオグンカンドリ
309. Fregata ariel コグンカンドリ
309-1. Fregata ariel ariel コグンカンドリ
Family SULIDAE カツオドリ科
SULA カツオドリ属
310. Sula dactylatra アオツラカツオドリ
310-1. Sula dactylatra personata アオツラカツオドリ
311. Sula sula アカアシカツオドリ
311-1. Sula sula rubripes アカアシカツオドリ
312. Sula leucogaster カツオドリ
312-1. Sula leucogaster plotus カツオドリ
312-2. Sula leucogaster brewsteri シロガシラカツオドリ
Family PHALACROCORACIDAE ウ科
URILE ヒメウ属
313. Urile urile チシマウガラス
314. Urile pelagicus ヒメウ
314-1. Urile pelagicus pelagicus ヒメウ
PHALACROCORAX ウ属
315. Phalacrocorax capillatus ウミウ
316. Phalacrocorax carbo カワウ
316-1. Phalacrocorax carbo sinensis シナカワウ（和名検討中）
316-2. Phalacrocorax carbo hanedae カワウ
316-U. Phalacrocorax carbo ssp. 亜種不明
Order PELECANIFORMES ペリカン目
Family THRESKIORNITHIDAE トキ科
THRESKIORNIS クロトキ属
317. Threskiornis melanocephalus クロトキ
NIPPONIA トキ属
318. Nipponia nippon トキ
PLEGADIS ブロンズトキ属
319. Plegadis falcinellus ブロンズトキ
PLATALEA ヘラサギ属
320. Platalea leucorodia ヘラサギ
320-1. Platalea leucorodia leucorodia ヘラサギ
321. Platalea minor クロツラヘラサギ
Family ARDEIDAE サギ科
BOTAURUS サンカノゴイ属
322. Botaurus stellaris サンカノゴイ
322-1. Botaurus stellaris stellaris サンカノゴイ
IXOBRYCHUS ヨシゴイ属
323. Ixobrychus sinensis ヨシゴイ
323-1. Ixobrychus sinensis sinensis ヨシゴイ
323-2. Ixobrychus sinensis bryani マリアナヨシゴイ
